"filename", "language", "Python", "Shell Script", "JSON", "HTML", "pip requirements", "HTTP", "Properties", "reStructuredText", "Batch", "PowerShell", "C++", "C", "JavaScript", "Ini", "Jinja", "XML", "PostCSS", "SCSS", "Markdown", "ANTLR", "comment", "blank", "total"
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\queries.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\schemas\requests.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\schemas\responses.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\services.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33, 167
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\utils.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\auth_permission.json", "JSON", 0, 0, 2309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2309
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\build.sh", "Shell Script", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 19
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\api.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 53
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\migrations\0001_initial.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\migrations\0002_initial.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 39
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\models.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\orm\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\orm\cart.py", "Python", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 24, 177
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\schemas\requests.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\schemas\responses.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\services\__init__.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27, 129
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\cart\views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\api.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 18, 129
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\migrations\0001_initial.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 45
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\migrations\0002_remove_certificate_attachment_certificateattachment.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 32
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\models.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 95
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\orm\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\orm\certificate.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 136
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\schemas\requests.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 65
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\schemas\responses.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 45
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\services\__init__.py", "Python", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 30, 146
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\certificate\views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\admin.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\authentication.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 32
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\consumers.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 84
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\middleware.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 41
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\migrations\0001_initial.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\models.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 53
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\routing.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\serializers.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\urls.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\chat\views.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 60
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\api.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 40, 313
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\apps.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0001_initial.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 58
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0002_initial.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 53
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0003_remove_dish_file.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0004_dish_avg_rating.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0005_dishlocation_dish_location_and_more.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0006_fix_dishlocation_constraint.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0007_remove_dishlocation_valid_location_parent_null_and_more.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\dish\migrations\0008_dish_private_final_score.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
